,BLKA,BLKA_RANK,CFID,CFPARAMS,EFG_PCT,EFG_PCT_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_2PM_RANK,PCT_AST_3PM,PCT_AST_3PM_RANK,PCT_AST_FGM,PCT_AST_FGM_RANK,PCT_UAST_2PM,PCT_UAST_2PM_RANK,PCT_UAST_3PM,PCT_UAST_3PM_RANK,PCT_UAST_FGM,PCT_UAST_FGM_RANK,Playoff,Name,ID
0,0,1,46,Assisted,1.14,1,95,1,95,1,1.0,1,340,1,340,1,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,,Kevin Durant,0
1,0,1,46,Unassisted,1.052,2,22,2,22,2,1.0,1,211,2,211,2,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,,Kevin Durant,1
2,0,1,46,Assisted,1.143,1,24,1,24,1,1.0,1,84,1,84,1,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,Yes,Kevin Durant,2
3,0,1,46,Unassisted,1.108,2,14,2,14,2,1.0,1,65,2,65,2,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,Yes,Kevin Durant,3
4,0,1,46,Assisted,1.11,1,61,2,61,2,1.0,1,278,2,278,2,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,,LeBron James,4
5,0,1,46,Unassisted,1.069,2,63,1,63,1,1.0,1,458,1,458,1,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,,LeBron James,5
6,0,1,46,Assisted,1.108,1,17,2,17,2,1.0,1,79,2,79,2,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,Yes,LeBron James,6
7,0,1,46,Unassisted,1.098,2,27,1,27,1,1.0,1,138,1,138,1,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,Yes,LeBron James,7
8,0,1,46,Assisted,1.295,1,208,1,208,1,1.0,1,353,1,353,1,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,,Stephen Curry,8
9,0,1,46,Unassisted,1.18,2,116,2,116,2,1.0,1,322,2,322,2,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,,Stephen Curry,9
10,0,1,46,Assisted,1.316,1,36,1,36,1,1.0,1,57,2,57,2,1.0,1,Assisted Shot,Assisted,1.0,1,1.0,1,1.0,1,0.0,2,0.0,2,0.0,2,Yes,Stephen Curry,10
11,0,1,46,Unassisted,1.191,2,36,1,36,1,1.0,1,94,1,94,1,1.0,1,Assisted Shot,Unassisted,0.0,2,0.0,2,0.0,2,1.0,1,1.0,1,1.0,1,Yes,Stephen Curry,11
