,C_DREB,C_OREB,C_REB,C_REB_PCT,DREB,G,OREB,PLAYER_ID,PLAYER_NAME_LAST_FIRST,Playoff,REB,REB_FREQUENCY,REB_NUM_CONTESTING_RANGE,SORT_ORDER,UC_DREB,UC_OREB,UC_REB,UC_REB_PCT,Name,ID
0,0.0,0.0,0.0,0.0,6.02,62,0.27,201142,"Durant, Kevin",,6.29,0.76,0 Contesting Rebounders,1,6.02,0.27,6.29,1.0,Kevin Durant,0
1,1.39,0.24,1.63,1.0,1.39,62,0.24,201142,"Durant, Kevin",,1.63,0.197,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,Kevin Durant,1
2,0.21,0.11,0.32,1.0,0.21,62,0.11,201142,"Durant, Kevin",,0.32,0.039,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,Kevin Durant,2
3,0.0,0.0,0.0,0.0,4.93,15,0.53,201142,"Durant, Kevin",Yes,5.47,0.689,0 Contesting Rebounders,1,4.93,0.53,5.47,1.0,Kevin Durant,3
4,1.8,0.47,2.27,1.0,1.8,15,0.47,201142,"Durant, Kevin",Yes,2.27,0.286,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,Kevin Durant,4
5,0.13,0.07,0.2,1.0,0.13,15,0.07,201142,"Durant, Kevin",Yes,0.2,0.025,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,Kevin Durant,5
6,0.0,0.0,0.0,0.0,6.15,74,0.47,2544,"James, LeBron",,6.62,0.767,0 Contesting Rebounders,1,6.15,0.47,6.62,1.0,LeBron James,6
7,1.08,0.68,1.76,1.0,1.08,74,0.68,2544,"James, LeBron",,1.76,0.203,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,LeBron James,7
8,0.11,0.18,0.28,1.0,0.11,74,0.18,2544,"James, LeBron",,0.28,0.033,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,LeBron James,8
9,0.0,0.0,0.0,0.0,6.78,18,0.33,2544,"James, LeBron",Yes,7.11,0.78,0 Contesting Rebounders,1,6.78,0.33,7.11,1.0,LeBron James,9
10,1.28,0.5,1.78,1.0,1.28,18,0.5,2544,"James, LeBron",Yes,1.78,0.195,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,LeBron James,10
11,0.0,0.22,0.22,1.0,0.0,18,0.22,2544,"James, LeBron",Yes,0.22,0.024,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,LeBron James,11
12,0.0,0.0,0.0,0.0,3.13,79,0.38,201939,"Curry, Stephen",,3.51,0.785,0 Contesting Rebounders,1,3.13,0.38,3.51,1.0,Stephen Curry,12
13,0.52,0.33,0.85,1.0,0.52,79,0.33,201939,"Curry, Stephen",,0.85,0.19,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,Stephen Curry,13
14,0.06,0.06,0.13,1.0,0.06,79,0.06,201939,"Curry, Stephen",,0.13,0.028,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,Stephen Curry,14
15,0.0,0.0,0.0,0.0,4.24,17,0.88,201939,"Curry, Stephen",Yes,5.12,0.821,0 Contesting Rebounders,1,4.24,0.88,5.12,1.0,Stephen Curry,15
16,0.65,0.35,1.0,1.0,0.65,17,0.35,201939,"Curry, Stephen",Yes,1.0,0.16,1 Contesting Rebounder,2,0.0,0.0,0.0,0.0,Stephen Curry,16
17,0.06,0.12,0.18,1.0,0.06,17,0.12,201939,"Curry, Stephen",Yes,0.18,0.028,2+ Contesting Rebounders,3,0.0,0.0,0.0,0.0,Stephen Curry,17
