,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,Playoff,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,Name,ID
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.002,62,0.06,2004318071," ,",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,0
1,0.11,0.06,0.03,0.5,0.16,0.08,0.5,0.23,0.11,0.5,0.026,62,0.97,1627775,"McCaw, Patrick",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,1
2,0.1,0.1,0.1,1.0,0.0,0.0,,0.1,0.1,1.0,0.008,62,0.29,1626172,"Looney, Kevon",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,2
3,0.08,0.08,0.08,1.0,0.0,0.0,,0.08,0.08,1.0,0.007,62,0.26,203949,"McAdoo, James Michael",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,3
4,0.39,0.39,0.21,0.542,0.35,0.21,0.591,0.74,0.42,0.565,0.057,62,2.16,203546,"Clark, Ian",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,4
5,0.47,0.61,0.26,0.421,0.69,0.26,0.372,1.31,0.52,0.395,0.168,62,6.35,203110,"Green, Draymond",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,5
6,1.29,1.18,0.69,0.589,1.42,0.74,0.523,2.6,1.44,0.553,0.135,62,5.1,202691,"Thompson, Klay",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,6
7,1.06,1.53,0.82,0.537,1.77,0.9,0.509,3.31,1.73,0.522,0.279,62,10.55,201939,"Curry, Stephen",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,7
8,0.27,0.39,0.32,0.833,0.0,0.0,,0.39,0.32,0.833,0.017,62,0.63,201580,"McGee, JaVale",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,8
9,0.02,0.02,0.02,1.0,0.0,0.0,,0.02,0.02,1.0,0.003,62,0.1,2760,"Varejao, Anderson",made,201142,"Durant, Kevin",,GSW,1610612744,Golden State Warriors,Kevin Durant,9
