,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,Playoff,Name,ID
0,0,300,Alley Oop,0.857,0,0,0.0,7,6,0.857,Shot Type Summary,Alley Oop,1.0,0.0,1.0,0.0,0.0,0.0,,Kevin Durant,0
1,0,300,Bank Shot,0.762,1,0,0.0,21,16,0.762,Shot Type Summary,Bank Shot,0.188,0.0,0.188,0.813,0.0,0.813,,Kevin Durant,1
2,1,300,Dunk,0.973,0,0,0.0,110,107,0.973,Shot Type Summary,Dunk,0.738,0.0,0.738,0.262,0.0,0.262,,Kevin Durant,2
3,0,300,Fadeaway,0.591,4,2,0.5,88,51,0.58,Shot Type Summary,Fadeaway,0.469,0.5,0.471,0.531,0.5,0.529,,Kevin Durant,3
4,0,300,Finger Roll,0.923,0,0,0.0,26,24,0.923,Shot Type Summary,Finger Roll,0.458,0.0,0.458,0.542,0.0,0.542,,Kevin Durant,4
5,1,300,Hook Shot,0.545,0,0,0.0,11,6,0.545,Shot Type Summary,Hook Shot,0.833,0.0,0.833,0.167,0.0,0.167,,Kevin Durant,5
6,11,300,Jump Shot,0.511,312,117,0.375,697,298,0.428,Shot Type Summary,Jump Shot,0.536,0.812,0.644,0.464,0.188,0.356,,Kevin Durant,6
7,14,300,Layup,0.679,0,0,0.0,168,114,0.679,Shot Type Summary,Layup,0.491,0.0,0.491,0.509,0.0,0.509,,Kevin Durant,7
8,0,300,Tip Shot,0.667,0,0,0.0,6,4,0.667,Shot Type Summary,Tip Shot,0.0,0.0,0.0,1.0,0.0,1.0,,Kevin Durant,8
9,0,300,Alley Oop,1.0,0,0,0.0,5,5,1.0,Shot Type Summary,Alley Oop,1.0,0.0,1.0,0.0,0.0,0.0,Yes,Kevin Durant,9
10,0,300,Bank Shot,0.75,0,0,0.0,4,3,0.75,Shot Type Summary,Bank Shot,0.333,0.0,0.333,0.667,0.0,0.667,Yes,Kevin Durant,10
11,0,300,Dunk,1.0,0,0,0.0,24,24,1.0,Shot Type Summary,Dunk,0.833,0.0,0.833,0.167,0.0,0.167,Yes,Kevin Durant,11
12,0,300,Fadeaway,0.667,1,0,0.0,33,22,0.667,Shot Type Summary,Fadeaway,0.409,0.0,0.409,0.591,0.0,0.591,Yes,Kevin Durant,12
13,0,300,Finger Roll,1.0,0,0,0.0,5,5,1.0,Shot Type Summary,Finger Roll,1.0,0.0,1.0,0.0,0.0,0.0,Yes,Kevin Durant,13
14,1,300,Hook Shot,0.0,0,0,0.0,1,0,0.0,Shot Type Summary,Hook Shot,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Kevin Durant,14
15,6,300,Jump Shot,0.576,86,38,0.442,177,83,0.469,Shot Type Summary,Jump Shot,0.378,0.632,0.494,0.622,0.368,0.506,Yes,Kevin Durant,15
16,6,300,Layup,0.596,0,0,0.0,47,28,0.596,Shot Type Summary,Layup,0.607,0.0,0.607,0.393,0.0,0.393,Yes,Kevin Durant,16
17,0,300,Tip Shot,0.0,0,0,0.0,1,0,0.0,Shot Type Summary,Tip Shot,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Kevin Durant,17
18,0,300,Alley Oop,0.87,0,0,0.0,23,20,0.87,Shot Type Summary,Alley Oop,1.0,0.0,1.0,0.0,0.0,0.0,,LeBron James,18
19,0,300,Bank Shot,0.535,3,2,0.667,43,22,0.512,Shot Type Summary,Bank Shot,0.2,1.0,0.273,0.8,0.0,0.727,,LeBron James,19
20,1,300,Dunk,0.96,0,0,0.0,151,145,0.96,Shot Type Summary,Dunk,0.648,0.0,0.648,0.352,0.0,0.352,,LeBron James,20
21,0,300,Fadeaway,0.495,4,4,1.0,107,51,0.477,Shot Type Summary,Fadeaway,0.106,0.25,0.118,0.894,0.75,0.882,,LeBron James,21
22,1,300,Finger Roll,0.844,0,0,0.0,32,27,0.844,Shot Type Summary,Finger Roll,0.333,0.0,0.333,0.667,0.0,0.667,,LeBron James,22
23,0,300,Hook Shot,0.286,0,0,0.0,14,4,0.286,Shot Type Summary,Hook Shot,0.25,0.0,0.25,0.75,0.0,0.75,,LeBron James,23
24,21,300,Jump Shot,0.448,342,124,0.363,643,226,0.351,Shot Type Summary,Jump Shot,0.157,0.492,0.341,0.843,0.508,0.659,,LeBron James,24
25,38,300,Layup,0.708,0,0,0.0,445,315,0.708,Shot Type Summary,Layup,0.321,0.0,0.321,0.679,0.0,0.679,,LeBron James,25
26,0,300,Tip Shot,0.6,0,0,0.0,10,6,0.6,Shot Type Summary,Tip Shot,0.0,0.0,0.0,1.0,0.0,1.0,,LeBron James,26
27,0,300,Alley Oop,1.0,0,0,0.0,5,5,1.0,Shot Type Summary,Alley Oop,1.0,0.0,1.0,0.0,0.0,0.0,Yes,LeBron James,27
28,0,300,Bank Shot,0.5,0,0,0.0,8,4,0.5,Shot Type Summary,Bank Shot,0.0,0.0,0.0,1.0,0.0,1.0,Yes,LeBron James,28
29,0,300,Dunk,0.97,0,0,0.0,33,32,0.97,Shot Type Summary,Dunk,0.625,0.0,0.625,0.375,0.0,0.375,Yes,LeBron James,29
30,0,300,Fadeaway,0.394,3,2,0.667,33,12,0.364,Shot Type Summary,Fadeaway,0.0,0.0,0.0,1.0,1.0,1.0,Yes,LeBron James,30
31,0,300,Finger Roll,0.84,0,0,0.0,25,21,0.84,Shot Type Summary,Finger Roll,0.381,0.0,0.381,0.619,0.0,0.619,Yes,LeBron James,31
32,0,300,Hook Shot,0.667,0,0,0.0,3,2,0.667,Shot Type Summary,Hook Shot,0.0,0.0,0.0,1.0,0.0,1.0,Yes,LeBron James,32
33,5,300,Jump Shot,0.532,107,44,0.411,190,79,0.416,Shot Type Summary,Jump Shot,0.171,0.386,0.291,0.829,0.614,0.709,Yes,LeBron James,33
34,11,300,Layup,0.72,0,0,0.0,132,95,0.72,Shot Type Summary,Layup,0.368,0.0,0.368,0.632,0.0,0.632,Yes,LeBron James,34
35,0,300,Tip Shot,1.0,0,0,0.0,1,1,1.0,Shot Type Summary,Tip Shot,0.0,0.0,0.0,1.0,0.0,1.0,Yes,LeBron James,35
36,0,300,Alley Oop,0.0,0,0,0.0,0,0,0.0,Shot Type Summary,Alley Oop,0.0,0.0,0.0,0.0,0.0,0.0,,Stephen Curry,36
37,0,300,Bank Shot,0.761,1,1,1.0,23,17,0.739,Shot Type Summary,Bank Shot,0.25,1.0,0.294,0.75,0.0,0.706,,Stephen Curry,37
38,0,300,Dunk,0.75,0,0,0.0,4,3,0.75,Shot Type Summary,Dunk,0.333,0.0,0.333,0.667,0.0,0.667,,Stephen Curry,38
39,1,300,Fadeaway,0.692,4,4,1.0,13,7,0.538,Shot Type Summary,Fadeaway,0.0,0.25,0.143,1.0,0.75,0.857,,Stephen Curry,39
40,2,300,Finger Roll,0.839,0,0,0.0,62,52,0.839,Shot Type Summary,Finger Roll,0.346,0.0,0.346,0.654,0.0,0.654,,Stephen Curry,40
41,0,300,Hook Shot,0.333,0,0,0.0,6,2,0.333,Shot Type Summary,Hook Shot,0.5,0.0,0.5,0.5,0.0,0.5,,Stephen Curry,41
42,20,300,Jump Shot,0.559,789,324,0.411,1094,450,0.411,Shot Type Summary,Jump Shot,0.405,0.642,0.576,0.595,0.358,0.424,,Stephen Curry,42
43,34,300,Layup,0.643,0,0,0.0,325,209,0.643,Shot Type Summary,Layup,0.431,0.0,0.431,0.569,0.0,0.569,,Stephen Curry,43
44,0,300,Tip Shot,0.25,0,0,0.0,4,1,0.25,Shot Type Summary,Tip Shot,0.0,0.0,0.0,1.0,0.0,1.0,,Stephen Curry,44
45,0,300,Alley Oop,0.0,0,0,0.0,0,0,0.0,Shot Type Summary,Alley Oop,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Stephen Curry,45
46,0,300,Bank Shot,0.636,0,0,0.0,11,7,0.636,Shot Type Summary,Bank Shot,0.143,0.0,0.143,0.857,0.0,0.857,Yes,Stephen Curry,46
47,0,300,Dunk,0.0,0,0,0.0,0,0,0.0,Shot Type Summary,Dunk,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Stephen Curry,47
48,0,300,Fadeaway,0.0,0,0,0.0,1,0,0.0,Shot Type Summary,Fadeaway,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Stephen Curry,48
49,0,300,Finger Roll,0.739,0,0,0.0,23,17,0.739,Shot Type Summary,Finger Roll,0.059,0.0,0.059,0.941,0.0,0.941,Yes,Stephen Curry,49
50,0,300,Hook Shot,0.0,0,0,0.0,0,0,0.0,Shot Type Summary,Hook Shot,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Stephen Curry,50
51,2,300,Jump Shot,0.601,168,70,0.417,238,108,0.454,Shot Type Summary,Jump Shot,0.237,0.514,0.417,0.763,0.486,0.583,Yes,Stephen Curry,51
52,7,300,Layup,0.609,0,0,0.0,64,39,0.609,Shot Type Summary,Layup,0.282,0.0,0.282,0.718,0.0,0.718,Yes,Stephen Curry,52
53,0,300,Tip Shot,0.0,0,0,0.0,0,0,0.0,Shot Type Summary,Tip Shot,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Stephen Curry,53
